EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
B«n Tiªu																																							..\man\MA_HB_011_RD01.spr	..\man\MA_HB_011_HW01.spr	..\man\MA_HB_011_HR01.spr	..\man\MA_HB_011_HA01.spr	..\man\MA_HB_011_HA02.spr	..\man\MA_HB_011_HM01.spr	..\man\MA_HB_011_HI01.spr	..\man\MA_HB_011_HD01.spr	..\man\MA_HB_011_RD02.spr	..\man\MA_HB_011_RD03.spr
Phiªn Vò																																							..\man\MA_HB_012_RD01.spr	..\man\MA_HB_012_HW01.spr	..\man\MA_HB_012_HR01.spr	..\man\MA_HB_012_HA01.spr	..\man\MA_HB_012_HA02.spr	..\man\MA_HB_012_HM01.spr	..\man\MA_HB_012_HI01.spr	..\man\MA_HB_012_HD01.spr	..\man\MA_HB_012_RD02.spr	..\man\MA_HB_012_RD03.spr
Phi V©n																																							..\man\MA_HB_013_RD01.spr	..\man\MA_HB_013_HW01.spr	..\man\MA_HB_013_HR01.spr	..\man\MA_HB_013_HA01.spr	..\man\MA_HB_013_HA02.spr	..\man\MA_HB_013_HM01.spr	..\man\MA_HB_013_HI01.spr	..\man\MA_HB_013_HD01.spr	..\man\MA_HB_013_RD02.spr	..\man\MA_HB_013_RD03.spr
XÝch Long C©u																																							..\man\MA_HB_014_RD01.spr	..\man\MA_HB_014_HW01.spr	..\man\MA_HB_014_HR01.spr	..\man\MA_HB_014_HA01.spr	..\man\MA_HB_014_HA02.spr	..\man\MA_HB_014_HM01.spr	..\man\MA_HB_014_HI01.spr	..\man\MA_HB_014_HD01.spr	..\man\MA_HB_014_RD02.spr	..\man\MA_HB_014_RD03.spr
TuyÖt §Þa																																							..\man\MA_HB_016_RD01.spr	..\man\MA_HB_016_HW01.spr	..\man\MA_HB_016_HR01.spr	..\man\MA_HB_016_HA01.spr	..\man\MA_HB_016_HA02.spr	..\man\MA_HB_016_HM01.spr	..\man\MA_HB_016_HI01.spr	..\man\MA_HB_016_HD01.spr	..\man\MA_HB_016_RD02.spr	..\man\MA_HB_016_RD03.spr
Du Huy																																							..\man\MA_HB_017_RD01.spr	..\man\MA_HB_017_HW01.spr	..\man\MA_HB_017_HR01.spr	..\man\MA_HB_017_HA01.spr	..\man\MA_HB_017_HA02.spr	..\man\MA_HB_017_HM01.spr	..\man\MA_HB_017_HI01.spr	..\man\MA_HB_017_HD01.spr	..\man\MA_HB_017_RD02.spr	..\man\MA_HB_017_RD03.spr
§»ng Vô																																							..\man\MA_HB_018_RD01.spr	..\man\MA_HB_018_HW01.spr	..\man\MA_HB_018_HR01.spr	..\man\MA_HB_018_HA01.spr	..\man\MA_HB_018_HA02.spr	..\man\MA_HB_018_HM01.spr	..\man\MA_HB_018_HI01.spr	..\man\MA_HB_018_HD01.spr	..\man\MA_HB_018_RD02.spr	..\man\MA_HB_018_RD03.spr
Siªu Quang																																							..\man\MA_HB_017_RD01.spr	..\man\MA_HB_017_HW01.spr	..\man\MA_HB_017_HR01.spr	..\man\MA_HB_017_HA01.spr	..\man\MA_HB_017_HA02.spr	..\man\MA_HB_017_HM01.spr	..\man\MA_HB_017_HI01.spr	..\man\MA_HB_017_HD01.spr	..\man\MA_HB_017_RD02.spr	..\man\MA_HB_017_RD03.spr
Hæ																																							..\man\MA_HB_030_RD01.spr	..\man\MA_HB_030_HW01.spr	..\man\MA_HB_030_HR01.spr	..\man\MA_HB_030_HA01.spr	..\man\MA_HB_030_HA02.spr	..\man\MA_HB_030_HM01.spr	..\man\MA_HB_030_HI01.spr	..\man\MA_HB_030_HD01.spr	..\man\MA_HB_030_RD01.spr	..\man\MA_HB_030_RD01.spr
Hæ Vµng																																							..\man\MA_HB_031_RD01.spr	..\man\MA_HB_031_HW01.spr	..\man\MA_HB_031_HR01.spr	..\man\MA_HB_031_HA01.spr	..\man\MA_HB_031_HA02.spr	..\man\MA_HB_031_HM01.spr	..\man\MA_HB_031_HI01.spr	..\man\MA_HB_031_HD01.spr	..\man\MA_HB_031_RD01.spr	..\man\MA_HB_031_RD01.spr
Hæ Tr¾ng																																							..\man\MA_HB_030_RD01.spr	..\man\MA_HB_030_HW01.spr	..\man\MA_HB_030_HR01.spr	..\man\MA_HB_030_HA01.spr	..\man\MA_HB_030_HA02.spr	..\man\MA_HB_030_HM01.spr	..\man\MA_HB_030_HI01.spr	..\man\MA_HB_030_HD01.spr	..\man\MA_HB_030_RD01.spr	..\man\MA_HB_030_RD01.spr
Hæ §en																																							..\man\MA_HB_032_RD01.spr	..\man\MA_HB_032_HW01.spr	..\man\MA_HB_032_HR01.spr	..\man\MA_HB_032_HA01.spr	..\man\MA_HB_032_HA02.spr	..\man\MA_HB_032_HM01.spr	..\man\MA_HB_032_HI01.spr	..\man\MA_HB_032_HD01.spr	..\man\MA_HB_032_RD01.spr	..\man\MA_HB_032_RD01.spr
H·n HuyÕt Long C©u																																							..\man\MA_HB_033_RD01.spr	..\man\MA_HB_033_HW01.spr	..\man\MA_HB_033_HR01.spr	..\man\MA_HB_033_HA01.spr	..\man\MA_HB_033_HA02.spr	..\man\MA_HB_033_HM01.spr	..\man\MA_HB_033_HI01.spr	..\man\MA_HB_033_HD01.spr	..\man\MA_HB_033_RD01.spr	..\man\MA_HB_033_RD01.spr
S­ Tö																																							..\man\MA_HB_035_RD01.spr	..\man\MA_HB_035_HW01.spr	..\man\MA_HB_035_HR01.spr	..\man\MA_HB_035_HA01.spr	..\man\MA_HB_035_HA02.spr	..\man\MA_HB_035_HM01.spr	..\man\MA_HB_035_HI01.spr	..\man\MA_HB_035_HD01.spr	..\man\MA_HB_035_RD01.spr	..\man\MA_HB_035_RD01.spr
L¹c §µ																																							..\man\MA_HB_036_RD01.spr	..\man\MA_HB_036_HW01.spr	..\man\MA_HB_036_HR01.spr	..\man\MA_HB_036_HA01.spr	..\man\MA_HB_036_HA02.spr	..\man\MA_HB_036_HM01.spr	..\man\MA_HB_036_HI01.spr	..\man\MA_HB_036_HD01.spr	..\man\MA_HB_036_RD01.spr	..\man\MA_HB_036_RD01.spr
L¹c §µ																																							..\man\MA_HB_037_RD01.spr	..\man\MA_HB_037_HW01.spr	..\man\MA_HB_037_HR01.spr	..\man\MA_HB_037_HA01.spr	..\man\MA_HB_037_HA02.spr	..\man\MA_HB_037_HM01.spr	..\man\MA_HB_037_HI01.spr	..\man\MA_HB_037_HD01.spr	..\man\MA_HB_037_RD01.spr	..\man\MA_HB_037_RD01.spr
ThÇn Léc																																							..\man\MA_HB_038_RD01.spr	..\man\MA_HB_038_HW01.spr	..\man\MA_HB_038_HR01.spr	..\man\MA_HB_038_HA01.spr	..\man\MA_HB_038_HA02.spr	..\man\MA_HB_038_HM01.spr	..\man\MA_HB_038_HI01.spr	..\man\MA_HB_038_HD01.spr	..\man\MA_HB_038_RD01.spr	..\man\MA_HB_038_RD01.spr
D­¬ng Sa																																							..\man\MA_HB_039_RD01.spr	..\man\MA_HB_039_HW01.spr	..\man\MA_HB_039_HR01.spr	..\man\MA_HB_039_HA01.spr	..\man\MA_HB_039_HA02.spr	..\man\MA_HB_039_HM01.spr	..\man\MA_HB_039_HI01.spr	..\man\MA_HB_039_HD01.spr	..\man\MA_HB_039_RD01.spr	..\man\MA_HB_039_RD01.spr
Ngù Phong																																							..\man\MA_HB_040_RD01.spr	..\man\MA_HB_040_HW01.spr	..\man\MA_HB_040_HR01.spr	..\man\MA_HB_040_HA01.spr	..\man\MA_HB_040_HA02.spr	..\man\MA_HB_040_HM01.spr	..\man\MA_HB_040_HI01.spr	..\man\MA_HB_040_HD01.spr	..\man\MA_HB_040_RD01.spr	..\man\MA_HB_040_RD01.spr
Truy §iÖn																																							..\man\MA_HB_041_RD01.spr	..\man\MA_HB_041_HW01.spr	..\man\MA_HB_041_HR01.spr	..\man\MA_HB_041_HA01.spr	..\man\MA_HB_041_HA02.spr	..\man\MA_HB_041_HM01.spr	..\man\MA_HB_041_HI01.spr	..\man\MA_HB_041_HD01.spr	..\man\MA_HB_041_RD01.spr	..\man\MA_HB_041_RD01.spr
L­u Tinh																																							..\man\MA_HB_042_RD01.spr	..\man\MA_HB_042_HW01.spr	..\man\MA_HB_042_HR01.spr	..\man\MA_HB_042_HA01.spr	..\man\MA_HB_042_HA02.spr	..\man\MA_HB_042_HM01.spr	..\man\MA_HB_042_HI01.spr	..\man\MA_HB_042_HD01.spr	..\man\MA_HB_042_RD01.spr	..\man\MA_HB_042_RD01.spr
TÞch V©n M·																																							..\man\horse115_hb_rs01.spr	..\man\horse115_hb_rw.spr	..\man\horse115_hb_rr.spr	..\man\horse115_hb_ra01.spr	..\man\horse115_hb_ra02.spr	..\man\horse115_hb_rm.spr	..\man\horse115_hb_rb.spr	..\man\horse115_hb_rd.spr	..\man\horse115_hb_rs01.spr	..\man\horse115_hb_rs01.spr
¤ V©n																																							..\man\horse117_hb_rs01.spr	..\man\horse117_hb_rw.spr	..\man\horse117_hb_rr.spr	..\man\horse117_hb_ra01.spr	..\man\horse117_hb_ra02.spr	..\man\horse117_hb_rm.spr	..\man\horse117_hb_rb.spr	..\man\horse117_hb_rd.spr	..\man\horse117_hb_rs01.spr	..\man\horse117_hb_rs01.spr
Hoµng v©n m·																																							..\man\horse114_hb_rs01.spr	..\man\horse114_hb_rw.spr	..\man\horse114_hb_rr.spr	..\man\horse114_hb_ra01.spr	..\man\horse114_hb_ra02.spr	..\man\horse114_hb_rm.spr	..\man\horse114_hb_rb.spr	..\man\horse114_hb_rd.spr	..\man\horse114_hb_rs01.spr	..\man\horse114_hb_rs01.spr
Kú L©n Sõng §á																																							..\man\horse_119_hb_rs.spr	..\man\horse_119_hb_rw.spr	..\man\horse_119_hb_rr.spr	..\man\horse_119_hb_ra01.spr	..\man\horse_119_hb_ra02.spr	..\man\horse_119_hb_rm.spr	..\man\horse_119_hb_rb.spr	..\man\horse_119_hb_rd.spr	..\man\horse_119_hb_rs.spr	..\man\horse_119_hb_rs.spr
Kú l©n ®en 																																							..\man\MA_HB_049_RD01.spr	..\man\MA_HB_049_HW01.spr	..\man\MA_HB_049_HR01.spr	..\man\MA_HB_049_HA01.spr	..\man\MA_HB_049_HA02.spr	..\man\MA_HB_049_HM01.spr	..\man\MA_HB_049_HI01.spr	..\man\MA_HB_049_HD01.spr	..\man\MA_HB_049_RD01.spr	..\man\MA_HB_049_RD01.spr
C¸o tr¾ng																																							..\man\MA_HB_050_RD01.spr	..\man\MA_HB_050_HW01.spr	..\man\MA_HB_050_HR01.spr	..\man\MA_HB_050_HA01.spr	..\man\MA_HB_050_HA02.spr	..\man\MA_HB_050_HM01.spr	..\man\MA_HB_050_HI01.spr	..\man\MA_HB_050_HD01.spr	..\man\MA_HB_050_RD01.spr	..\man\MA_HB_050_RD01.spr
C¸o vµng																																							..\man\MA_HB_052_RD01.spr	..\man\MA_HB_052_HW01.spr	..\man\MA_HB_052_HR01.spr	..\man\MA_HB_052_HA01.spr	..\man\MA_HB_052_HA02.spr	..\man\MA_HB_052_HM01.spr	..\man\MA_HB_052_HI01.spr	..\man\MA_HB_052_HD01.spr	..\man\MA_HB_052_RD01.spr	..\man\MA_HB_052_RD01.spr
H­u tuyÕt																																							..\man\MA_HB_089_RD01.spr	..\man\MA_HB_089_HW01.spr	..\man\MA_HB_089_HR01.spr	..\man\MA_HB_089_HA01.spr	..\man\MA_HB_089_HA02.spr	..\man\MA_HB_089_HM01.spr	..\man\MA_HB_089_HI01.spr	..\man\MA_HB_089_HD01.spr	..\man\MA_HB_089_RD01.spr	..\man\MA_HB_089_RD01.spr
Thá tr¾ng																																							..\man\MA_HB_114_RD01.spr	..\man\MA_HB_114_HW01.spr	..\man\MA_HB_114_HR01.spr	..\man\MA_HB_114_HA01.spr	..\man\MA_HB_114_HA02.spr	..\man\MA_HB_114_HM01.spr	..\man\MA_HB_114_HI01.spr	..\man\MA_HB_114_HD01.spr	..\man\MA_HB_114_RD01.spr	..\man\MA_HB_114_RD01.spr
Hoµng ti dª																																							..\man\horse055_hb_rs.spr	..\man\horse055_hb_rw.spr	..\man\horse055_hb_rr.spr	..\man\horse055_hb_ra01.spr	..\man\horse055_hb_ra02.spr	..\man\horse055_hb_rm.spr	..\man\horse055_hb_rb.spr	..\man\horse055_hb_rd.spr	..\man\horse055_hb_rs.spr	..\man\horse055_hb_rs.spr
Lôc kú l©n																																							..\man\horse070_hb_rs01.spr	..\man\horse070_hb_rw.spr	..\man\horse070_hb_rr.spr	..\man\horse070_hb_ra01.spr	..\man\horse070_hb_ra02.spr	..\man\horse070_hb_rm.spr	..\man\horse070_hb_rb.spr	..\man\horse070_hb_rd.spr	..\man\horse070_hb_rs01.spr	..\man\horse070_hb_rs01.spr
Rång Löa																																							..\man\MA_HB_119vip_RD01.spr	..\man\MA_HB_119vip_HW01.spr	..\man\MA_HB_119vip_HR01.spr	..\man\MA_HB_119vip_HA01.spr	..\man\MA_HB_119vip_HA02.spr	..\man\MA_HB_119vip_HM01.spr	..\man\MA_HB_119vip_HI01.spr	..\man\MA_HB_119vip_HD01.spr	..\man\MA_HB_119vip_RD01.spr	..\man\MA_HB_119vip_RD01.spr
H¾c Phong																																							..\man\horse45_hb_rs.spr	..\man\horse45_hb_rw.spr	..\man\horse45_hb_rr.spr	..\man\horse45_hb_ra01.spr	..\man\horse45_hb_ra02.spr	..\man\horse45_hb_rm.spr	..\man\horse45_hb_rb.spr	..\man\horse45_hb_rd.spr	..\man\horse45_hb_rs.spr	..\man\horse45_hb_rs.spr
B¹ch Long																																							..\man\horse66_hb_rs01.spr	..\man\horse66_hb_rw.spr	..\man\horse66_hb_rr.spr	..\man\horse66_hb_ra01.spr	..\man\horse66_hb_ra02.spr	..\man\horse66_hb_rm.spr	..\man\horse66_hb_rb.spr	..\man\horse66_hb_rd.spr	..\man\horse66_hb_rs01.spr	..\man\horse66_hb_rs01.spr
Tö §iÖn 																																							..\man\horse077_hb_rs01.spr	..\man\horse077_hb_rw.spr	..\man\horse077_hb_rr.spr	..\man\horse077_hb_ra01.spr	..\man\horse077_hb_ra02.spr	..\man\horse077_hb_rm.spr	..\man\horse077_hb_rb.spr	..\man\horse077_hb_rd.spr	..\man\horse077_hb_rs01.spr	..\man\horse077_hb_rs01.spr
TuyÕt L©n																																							..\man\horse078_hb_rs01.spr	..\man\horse078_hb_rw.spr	..\man\horse078_hb_rr.spr	..\man\horse078_hb_ra01.spr	..\man\horse078_hb_ra02.spr	..\man\horse078_hb_rm.spr	..\man\horse078_hb_rb.spr	..\man\horse078_hb_rd.spr	..\man\horse078_hb_rs01.spr	..\man\horse078_hb_rs01.spr
L«i ¶nh																																							..\man\horse079_hb_rs01.spr	..\man\horse079_hb_rw.spr	..\man\horse079_hb_rr.spr	..\man\horse079_hb_ra01.spr	..\man\horse079_hb_ra02.spr	..\man\horse079_hb_rm.spr	..\man\horse079_hb_rb.spr	..\man\horse079_hb_rd.spr	..\man\horse079_hb_rs01.spr	..\man\horse079_hb_rs01.spr
HuyÕt Vò																																							..\man\horse116_hb_rs01.spr	..\man\horse116_hb_rw.spr	..\man\horse116_hb_rr.spr	..\man\horse116_hb_ra01.spr	..\man\horse116_hb_ra02.spr	..\man\horse116_hb_rm.spr	..\man\horse116_hb_rb.spr	..\man\horse116_hb_rd.spr	..\man\horse116_hb_rs01.spr	..\man\horse116_hb_rs01.spr
Ng©n ¶nh																																							..\man\cchorse118_hb_rs01.spr	..\man\cchorse118_hb_rw.spr	..\man\cchorse118_hb_rr.spr	..\man\cchorse118_hb_ra01.spr	..\man\cchorse118_hb_ra02.spr	..\man\cchorse118_hb_rm.spr	..\man\cchorse118_hb_rb.spr	..\man\cchorse118_hb_rd.spr	..\man\cchorse118_hb_rs01.spr	..\man\cchorse118_hb_rs01.spr
Long Uy																																							..\man\130huoyanma_hb_rs.spr	..\man\130huoyanma_hb_rw.spr	..\man\130huoyanma_hb_rr.spr	..\man\130huoyanma_hb_ra01.spr	..\man\130huoyanma_hb_ra02.spr	..\man\130huoyanma_hb_rm.spr	..\man\130huoyanma_hb_rb.spr	..\man\130huoyanma_hb_rd.spr	..\man\130huoyanma_hb_rs.spr	..\man\130huoyanma_hb_rs.spr
Tµng Phong																																							..\man\jueshixueyu_hb_rs.spr	..\man\jueshixueyu_hb_rw.spr	..\man\jueshixueyu_hb_rr.spr	..\man\jueshixueyu_hb_ra01.spr	..\man\jueshixueyu_hb_ra02.spr	..\man\jueshixueyu_hb_rm.spr	..\man\jueshixueyu_hb_rb.spr	..\man\jueshixueyu_hb_rd.spr	..\man\jueshixueyu_hb_rs.spr	..\man\jueshixueyu_hb_rs.spr
Phi TuyÕt																																							..\man\ma_005_hb_rs01.spr	..\man\ma_005_hb_rw.spr	..\man\ma_005_hb_rr.spr	..\man\ma_005_hb_ra01.spr	..\man\ma_005_hb_ra02.spr	..\man\ma_005_hb_rm.spr	..\man\ma_005_hb_rb.spr	..\man\ma_005_hb_rd.spr	..\man\ma_005_hb_rs01.spr	..\man\ma_005_hb_rs01.spr
HuyÕt ¶nh																																							..\man\ma_007_hb_rs01.spr	..\man\ma_007_hb_rw.spr	..\man\ma_007_hb_rr.spr	..\man\ma_007_hb_ra01.spr	..\man\ma_007_hb_ra02.spr	..\man\ma_007_hb_rm.spr	..\man\ma_007_hb_rb.spr	..\man\ma_007_hb_rd.spr	..\man\ma_007_hb_rs01.spr	..\man\ma_007_hb_rs01.spr
B¹ch V©n																																							..\man\ma_009_hb_rs01.spr	..\man\ma_009_hb_rw.spr	..\man\ma_009_hb_rr.spr	..\man\ma_009_hb_ra01.spr	..\man\ma_009_hb_ra02.spr	..\man\ma_009_hb_rm.spr	..\man\ma_009_hb_rb.spr	..\man\ma_009_hb_rd.spr	..\man\ma_009_hb_rs01.spr	..\man\ma_009_hb_rs01.spr
L«i V©n																																							..\man\ma_010_hb_rs01.spr	..\man\ma_010_hb_rw.spr	..\man\ma_010_hb_rr.spr	..\man\ma_010_hb_ra01.spr	..\man\ma_010_hb_ra02.spr	..\man\ma_010_hb_rm.spr	..\man\ma_010_hb_rb.spr	..\man\ma_010_hb_rd.spr	..\man\ma_010_hb_rs01.spr	..\man\ma_010_hb_rs01.spr
H¾c M· 																																							..\man\ma_011_hb_rs01.spr	..\man\ma_011_hb_rw.spr	..\man\ma_011_hb_rr.spr	..\man\ma_011_hb_ra01.spr	..\man\ma_011_hb_ra02.spr	..\man\ma_011_hb_rm.spr	..\man\ma_011_hb_rb.spr	..\man\ma_011_hb_rd.spr	..\man\ma_011_hb_rs01.spr	..\man\ma_011_hb_rs01.spr
Tö  V©n																																							..\man\ma_012_hb_rs01.spr	..\man\ma_012_hb_rw.spr	..\man\ma_012_hb_rr.spr	..\man\ma_012_hb_ra01.spr	..\man\ma_012_hb_ra02.spr	..\man\ma_012_hb_rm.spr	..\man\ma_012_hb_rb.spr	..\man\ma_012_hb_rd.spr	..\man\ma_012_hb_rs01.spr	..\man\ma_012_hb_rs01.spr
Kim Gi¸p 																																							..\man\ma_lanma_hb_rs.spr	..\man\ma_lanma_hb_rw.spr	..\man\ma_lanma_hb_rr.spr	..\man\ma_lanma_hb_ra01.spr	..\man\ma_lanma_hb_ra02.spr	..\man\ma_lanma_hb_rm.spr	..\man\ma_lanma_hb_rb.spr	..\man\ma_lanma_hb_rd.spr	..\man\ma_lanma_hb_rs.spr	..\man\ma_lanma_hb_rs.spr
XÝch V©n																																							..\man\QianLiMa_hb_rs01.spr	..\man\QianLiMa_hb_rw.spr	..\man\QianLiMa_hb_rr.spr	..\man\QianLiMa_hb_ra01.spr	..\man\QianLiMa_hb_ra02.spr	..\man\QianLiMa_hb_rm.spr	..\man\QianLiMa_hb_rb.spr	..\man\QianLiMa_hb_rd.spr	..\man\QianLiMa_hb_rs01.spr	..\man\QianLiMa_hb_rs01.spr
Ti hoµng l©n																																							..\man\huoqilin_hb_rs01.spr	..\man\huoqilin_hb_rw.spr	..\man\huoqilin_hb_rr.spr	..\man\huoqilin_hb_ra01.spr	..\man\huoqilin_hb_ra02.spr	..\man\huoqilin_hb_rm.spr	..\man\huoqilin_hb_rb.spr	..\man\huoqilin_hb_rd.spr	..\man\huoqilin_hb_rs01.spr	..\man\huoqilin_hb_rs01.spr
S­ Tö Hoµng Kim																																							..\man\horse083_hb_rs01.spr	..\man\horse083_hb_rw.spr	..\man\horse083_hb_rr.spr	..\man\horse083_hb_ra01.spr	..\man\horse083_hb_ra02.spr	..\man\horse083_hb_rm.spr	..\man\horse083_hb_rb.spr	..\man\horse083_hb_rd.spr	..\man\horse083_hb_rs01.spr	..\man\horse083_hb_rs01.spr
S­ Tö H¾c Kim																																							..\man\horse043_hb_rs01.spr	..\man\horse043_hb_rw.spr	..\man\horse043_hb_rr.spr	..\man\horse043_hb_ra01.spr	..\man\horse043_hb_ra02.spr	..\man\horse043_hb_rm.spr	..\man\horse043_hb_rb.spr	..\man\horse043_hb_rd.spr	..\man\horse043_hb_rs01.spr	..\man\horse043_hb_rs01.spr
Tr©u Kinh																																							..\man\horse112_hb_ra02.spr	..\man\horse112_hb_rw.spr	..\man\horse112_hb_rr.spr	..\man\horse112_hb_ra01.spr	..\man\horse112_hb_ra02.spr	..\man\horse112_hb_rm.spr	..\man\horse112_hb_rb.spr	..\man\horse112_hb_rd.spr	..\man\horse112_hb_ra02.spr	..\man\horse112_hb_ra02.spr
B¹ch V©n M·																																							..\man\horse120_hb_rs01.spr	..\man\horse120_hb_rw.spr	..\man\horse120_hb_rr.spr	..\man\horse120_hb_ra01.spr	..\man\horse120_hb_ra02.spr	..\man\horse120_hb_rm.spr	..\man\horse120_hb_rb.spr	..\man\horse120_hb_rd.spr	..\man\horse120_hb_rs01.spr	..\man\horse120_hb_rs01.spr
V« ¶nh																																							..\man\MA_HB_049_RD01.spr	..\man\MA_HB_049_HW01.spr	..\man\MA_HB_049_HR01.spr	..\man\MA_HB_049_HA01.spr	..\man\MA_HB_049_HA02.spr	..\man\MA_HB_049_HM01.spr	..\man\MA_HB_049_HI01.spr	..\man\MA_HB_049_HD01.spr	..\man\MA_HB_049_RD01.spr	..\man\MA_HB_049_RD01.spr
S­ Tö  Tr¾ng																																							..\man\ma_030_hb_rs01.spr	..\man\ma_030_hb_rw.spr	..\man\ma_030_hb_rr.spr	..\man\ma_030_hb_ra01.spr	..\man\ma_030_hb_ra02.spr	..\man\ma_030_hb_rm.spr	..\man\ma_030_hb_rb.spr	..\man\ma_030_hb_rd.spr	..\man\ma_030_hb_rs01.spr	..\man\ma_030_hb_rs01.spr
